date,return_1d,return_5d,return_10d,return_20d,return_60d,price_to_ma20,price_to_ma50,ma20_to_ma50,vol_20d,vol_ratio,hl_range,rsi_14,stoch_k,macd_hist,volume_ratio,dxy_return_lag1,vix_level,vix_return_lag1,oil_return_lag1,gold_return_lag1,regime,target
2017-05-18,0.003686818283279214,-0.011880220865818858,-0.009811535873483712,0.004470299455950788,0.0019151648121900067,0.9911822120867617,0.9985348540192116,1.0074180527483139,0.08669057786086418,1.9130458495389064,0.009730661200956987,43.99268240272162,24.505161233909973,-3.8754163159392068,1.148632504690525,-0.007032947070774398,14.65999984741211,0.4638498320189939,0.00842580864565945,0.018218623481781382,high_vol,1
2017-05-19,0.006767499942466504,-0.0036342795553800933,-0.007132731339045795,0.01427287233105301,0.00826367803297079,0.9971998250018399,1.0051493797968911,1.0079718774469666,0.08876191595358163,2.0648770819815847,0.007822098687046964,51.05254112686808,54.68422820799566,-3.5352066880241084,1.0147823681530428,0.0047218137252982295,12.039999961853027,-0.05965364310925958,0.005706109252868075,-0.004612364873260444,neutral,1
2017-05-22,0.005160131149745784,-0.003250662054085307,-0.002010046162290835,0.008592934517819284,0.01193044499127427,1.0019287364151577,1.0101534519184228,1.0082088827322115,0.08221586580334306,2.0590396015746113,0.0035672379482324223,55.67185184155964,77.8511042693506,-2.422311258558686,0.8472791461753771,-0.0074580685331350205,10.930000305175781,-0.17871759296242995,0.019858224665346258,0.0007989135088355415,low_vol,1
2017-05-23,0.001837871992654172,-0.0007258930462877844,0.0008530744602787133,0.004340119033726442,0.012750333922811885,1.0035641447500905,1.0117969488343161,1.00820356538971,0.0796787743328963,2.0697624896244355,0.0029061695077569785,57.228104063905505,86.14497475758537,-1.3814603107293753,0.867069521423752,-0.0017498524577997943,10.720000267028809,-0.09219266280682037,0.007947500429750232,0.006386206044405318,low_vol,1
2017-05-24,0.002489126548973042,0.019941447917118715,0.0022115996434038943,0.007314949066242193,0.01781783684983118,1.0057057141466137,1.013982301763663,1.0082296316910881,0.08002974765976846,0.4052833713324048,0.0031567625176158395,59.31521835244764,97.39844357618514,-0.33698185264765534,0.922597282682001,0.0038151691521988162,10.020000457763672,-0.019213177702065543,0.014587062589083821,-0.004679862435360449,low_vol,1
2017-05-25,0.00444194837709877,0.02069657801093827,0.008816357145119413,0.011203977639209772,0.008585930567063693,1.009617679064501,1.0182303444339378,1.0085306205983011,0.08133042944999877,0.4303733673298096,0.004430493057761996,62.811359193183485,94.48417469801514,0.9563793058870242,0.9705694611354989,-0.0011299497901975375,9.989999771118164,-0.06529848804370886,-0.00213717908961919,-0.001912674785360391,low_vol,1
2017-05-26,0.00031054999597146526,0.014239628064443233,0.01060534850906314,0.013427674703341386,0.014756361066633583,1.009264154846546,1.0182508454913677,1.0089042007502862,0.0808149095019002,0.42862887036994207,0.0018544346606874707,63.05147545680429,95.62071070497049,1.702034788745821,0.7797508624142934,0.00010286030903139398,9.8100004196167,-0.0029940803667591886,-0.04789717786679393,0.002714807048692869,low_vol,0
2017-05-30,-0.0012046245861250249,0.007874872328572424,0.004624210274487117,0.010490759605636168,0.013047859208448531,1.007531064260659,1.016727170084243,1.009127367035906,0.08097579892163168,0.4676451095335345,0.002416202153151803,61.39500372659184,91.2107142196489,1.8278485697125122,0.8905176561307291,0.0015424321427137677,10.380000114440918,-0.018017953516060725,0.018404860595052197,0.009396342012268466,low_vol,0
2017-05-31,-0.000459968801852062,0.00557703153406619,0.004851138487778406,0.008841740857961855,0.01586513125460176,1.006634059767983,1.0159313384378172,1.0092360064510209,0.08100787233190672,0.5068481278432684,0.005141347579694684,60.7396154448963,89.5288481103979,1.6692866687933101,1.243669535871483,-0.0012320610339020543,10.40999984741211,0.05810394194116553,-0.0028112327669325143,-0.004338908256492857,low_vol,1
2017-06-01,0.007571112611303388,0.010659017596396536,0.03060046551351525,0.017684214000647347,0.026349617633926847,1.0133686633101058,1.0228816238564635,1.0093874627179453,0.08453140076426702,0.805870167620162,0.006798193926453802,66.98420147262237,100.0,2.5731310809141785,1.0632320423197539,-0.0037006642153472047,9.890000343322754,0.0028901476532217085,-0.026983490872034777,0.007844088903865343,low_vol,1
2017-06-02,0.0037077313104922904,0.009924800529790057,0.030621378540728328,0.020809842667244616,0.03234156410946787,1.0160762000678383,1.02589154976151,1.0096600527529493,0.08510937608051815,0.7834899220245334,0.005133111874752951,69.55721693620988,98.67453779004076,3.4993120936647504,0.9664227022188262,0.0028889680621826397,9.75,-0.04995192235460266,0.0008278335219367161,-0.0039308176100628645,low_vol,0
2017-06-05,-0.001217665183814387,0.008396585350004204,0.022636213414447437,0.015503482075401642,0.030324003567092195,1.014061455171002,1.0238659877771308,1.0096685783254382,0.08467189811824068,0.8324508617830577,0.002146865998561273,67.68471287407407,95.28067380684688,3.618431309632122,0.8205528699741939,-0.00493822780462283,10.069999694824219,-0.01415574706398015,-0.014474788132852412,0.007734845168212212,low_vol,0
2017-06-06,-0.0027790399654609166,0.0068221699706683125,0.014697042299240737,0.012686996136949902,0.024276293405932292,1.0106133620904887,1.0202886334371877,1.0095736625990035,0.08558269338054526,0.9049257370777025,0.0033300718674853296,63.4890386279328,87.54439363800458,2.974698025132426,0.9506838138391184,0.0008271487804485389,10.449999809265137,0.03282048152043271,-0.005455273234695968,0.001958019975245584,low_vol,1
2017-06-07,0.0015682572275503848,0.00885039600007076,0.01442742753413695,0.015280501994415663,0.025477917820926455,1.0114362635243561,1.0211034842223905,1.0095579138762032,0.0854106225801078,0.8779584671785181,0.004327753340034021,64.81099389190206,91.89796926132892,2.554969484683829,1.0080003698028883,-0.0016529303415808716,10.390000343322754,0.03773586156474562,0.016666604966220522,0.011803310411634405,low_vol,1
2017-06-08,0.00026720472849017796,0.0015464881172575495,0.012205505713654086,0.01441710535705798,0.029124149724921278,1.0109887172191314,1.0207318952749482,1.0096372767468829,0.08541645958998345,0.5391739980526655,0.004655322744834787,65.04359529253348,90.77372936785811,2.0901797212942057,1.0517468705366149,0.0011382513560254104,10.15999984741211,-0.005741575793062337,-0.05125539482038666,-0.0033220401321233384,low_vol,0
2017-06-09,-0.0008299892344156845,-0.0029912324276504254,0.006933568102139631,0.015749925247259045,0.019919407693924196,1.0093670050112507,1.0192807447056667,1.0098217394121236,0.08494941399982643,0.36054998353098694,0.012542304475765848,63.63612865361561,75.6580220830193,1.4463438042651084,1.1296749282505354,0.0017570870175225295,10.699999809265137,-0.022136716873013107,-0.001749821279936059,-0.010696788635737198,low_vol,0
